run_id,p_gain_mult,seed,output
p010_s42,0.10,42,results/logs/run_p010_s42.csv
p010_s123,0.10,123,results/logs/run_p010_s123.csv
p010_s7777,0.10,7777,results/logs/run_p010_s7777.csv
p020_s42,0.20,42,results/logs/run_p020_s42.csv
p020_s123,0.20,123,results/logs/run_p020_s123.csv
p020_s7777,0.20,7777,results/logs/run_p020_s7777.csv
p030_s42,0.30,42,results/logs/run_p030_s42.csv
p030_s123,0.30,123,results/logs/run_p030_s123.csv
p030_s7777,0.30,7777,results/logs/run_p030_s7777.csv
p040_s42,0.40,42,results/logs/run_p040_s42.csv
p040_s123,0.40,123,results/logs/run_p040_s123.csv
p040_s7777,0.40,7777,results/logs/run_p040_s7777.csv
p050_s42,0.50,42,results/logs/run_p050_s42.csv
p050_s123,0.50,123,results/logs/run_p050_s123.csv
p050_s7777,0.50,7777,results/logs/run_p050_s7777.csv
p060_s42,0.60,42,results/logs/run_p060_s42.csv
p060_s123,0.60,123,results/logs/run_p060_s123.csv
p060_s7777,0.60,7777,results/logs/run_p060_s7777.csv
p080_s42,0.80,42,results/logs/run_p080_s42.csv
p080_s123,0.80,123,results/logs/run_p080_s123.csv
p080_s7777,0.80,7777,results/logs/run_p080_s7777.csv
p100_s42,1.00,42,results/logs/run_p100_s42.csv
p100_s123,1.00,123,results/logs/run_p100_s123.csv
p100_s7777,1.00,7777,results/logs/run_p100_s7777.csv
p120_s42,1.20,42,results/logs/run_p120_s42.csv
p120_s123,1.20,123,results/logs/run_p120_s123.csv
p120_s7777,1.20,7777,results/logs/run_p120_s7777.csv
p150_s42,1.50,42,results/logs/run_p150_s42.csv
p150_s123,1.50,123,results/logs/run_p150_s123.csv
p150_s7777,1.50,7777,results/logs/run_p150_s7777.csv
p200_s42,2.00,42,results/logs/run_p200_s42.csv
p200_s123,2.00,123,results/logs/run_p200_s123.csv
p200_s7777,2.00,7777,results/logs/run_p200_s7777.csv